"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.07.2025","6.198,01","6.187,25","6.210,78","6.177,97","-","-0,11%"
"30.06.2025","6.204,95","6.193,36","6.215,08","6.174,97","-","0,52%"
"27.06.2025","6.173,07","6.150,70","6.187,68","6.132,35","-","0,52%"
"26.06.2025","6.141,02","6.112,09","6.146,52","6.107,27","-","0,80%"
"25.06.2025","6.092,16","6.104,23","6.108,51","6.080,09","-","-0,00%"
"24.06.2025","6.092,18","6.061,21","6.101,76","6.059,25","-","1,11%"
"23.06.2025","6.025,17","5.969,67","6.028,77","5.943,23","-","0,96%"
"20.06.2025","5.967,84","5.999,67","6.018,20","5.952,56","-","-0,22%"
"18.06.2025","5.980,87","5.987,93","6.018,25","5.971,89","-","-0,03%"
"17.06.2025","5.982,72","6.012,15","6.023,25","5.974,80","-","-0,84%"
"16.06.2025","6.033,11","6.004,00","6.050,83","6.004,00","-","0,94%"
"13.06.2025","5.976,97","6.000,56","6.026,16","5.963,21","-","-1,13%"
"12.06.2025","6.045,26","6.009,90","6.045,43","6.003,88","-","0,38%"
"11.06.2025","6.022,24","6.049,38","6.059,40","6.002,32","-","-0,27%"
"10.06.2025","6.038,81","6.009,91","6.043,01","6.000,28","-","0,55%"
"09.06.2025","6.005,88","6.004,63","6.021,31","5.994,18","-","0,09%"
"06.06.2025","6.000,36","5.987,06","6.016,87","5.978,63","-","1,03%"
"05.06.2025","5.939,30","5.985,67","5.999,70","5.921,20","-","-0,53%"
"04.06.2025","5.970,81","5.978,94","5.990,48","5.966,11","-","0,01%"
"03.06.2025","5.970,37","5.938,56","5.981,35","5.929,00","-","0,58%"
"02.06.2025","5.935,94","5.896,68","5.937,40","5.861,43","-","0,41%"
"30.05.2025","5.911,69","5.903,67","5.922,14","5.843,66","-","-0,01%"
"29.05.2025","5.912,17","5.939,96","5.943,13","5.873,80","-","0,40%"
"28.05.2025","5.888,55","5.925,54","5.939,92","5.881,88","-","-0,56%"
"27.05.2025","5.921,54","5.854,07","5.924,33","5.854,07","-","2,05%"
"23.05.2025","5.802,82","5.781,89","5.829,51","5.767,41","-","-0,67%"
"22.05.2025","5.842,01","5.841,26","5.878,08","5.825,82","-","-0,04%"
"21.05.2025","5.844,61","5.910,18","5.938,37","5.830,91","-","-1,61%"
"20.05.2025","5.940,46","5.944,66","5.953,06","5.909,26","-","-0,39%"
"19.05.2025","5.963,60","5.902,88","5.968,61","5.895,69","-","0,09%"
"16.05.2025","5.958,38","5.929,09","5.958,62","5.907,36","-","0,70%"
"15.05.2025","5.916,93","5.869,82","5.924,21","5.865,16","-","0,41%"
"14.05.2025","5.892,58","5.896,74","5.906,55","5.872,11","-","0,10%"
"13.05.2025","5.886,55","5.854,15","5.906,64","5.845,02","-","0,72%"
"12.05.2025","5.844,19","5.807,20","5.845,37","5.786,08","-","3,26%"
"09.05.2025","5.659,91","5.679,65","5.691,69","5.644,15","-","-0,07%"
"08.05.2025","5.663,94","5.663,60","5.720,10","5.635,38","-","0,58%"
"07.05.2025","5.631,28","5.614,18","5.654,73","5.578,64","-","0,43%"
"06.05.2025","5.606,91","5.605,87","5.649,58","5.586,04","-","-0,77%"
"05.05.2025","5.650,38","5.655,32","5.683,38","5.634,48","-","-0,64%"
"02.05.2025","5.686,67","5.645,88","5.700,70","5.642,28","-","1,47%"
"01.05.2025","5.604,14","5.625,14","5.658,91","5.597,35","-","0,63%"
"30.04.2025","5.569,06","5.499,44","5.581,84","5.433,24","-","0,15%"
"29.04.2025","5.560,83","5.508,87","5.571,95","5.505,70","-","0,58%"
