"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"04.12.2024","6,0409","6,0413","6,0738","6,0198","","-0,05%"
"03.12.2024","6,0440","6,0584","6,0957","6,0285","","-0,23%"
"02.12.2024","6,0580","6,0002","6,0914","6,0002","","1,42%"
"29.11.2024","5,9730","6,0037","6,1159","5,9557","","-0,69%"
"28.11.2024","6,0142","5,9710","6,0230","5,9458","","1,29%"
"27.11.2024","5,9377","5,8122","5,9401","5,8033","","2,21%"
"26.11.2024","5,8095","5,8113","5,8335","5,7804","","0,19%"
"25.11.2024","5,7983","5,7867","5,8212","5,7755","","-0,05%"
"22.11.2024","5,8010","5,8142","5,8326","5,7879","","-0,23%"
"21.11.2024","5,8144","5,7759","5,8337","5,7755","","0,73%"
"20.11.2024","5,7725","5,7731","5,7759","5,7727","","0,05%"
"19.11.2024","5,7694","5,7469","5,7978","5,7450","","0,38%"
"18.11.2024","5,7473","5,7951","5,8003","5,7351","","-0,82%"
"15.11.2024","5,7947","5,7956","5,7964","5,7950","","0,10%"
"14.11.2024","5,7890","5,8032","5,8296","5,7602","","-0,29%"
"13.11.2024","5,8061","5,7482","5,8183","5,7218","","0,99%"
"12.11.2024","5,7490","5,7546","5,7990","5,7463","","-0,12%"
"11.11.2024","5,7559","5,7756","5,8167","5,7505","","0,32%"
"08.11.2024","5,7376","5,6926","5,7910","5,6912","","0,80%"
"07.11.2024","5,6923","5,6774","5,7239","5,6336","","0,23%"
"06.11.2024","5,6793","5,7512","5,8625","5,6644","","-1,24%"
"05.11.2024","5,7508","5,7699","5,8054","5,7393","","-0,70%"
"04.11.2024","5,7916","5,8681","5,8697","5,7558","","-1,30%"
"01.11.2024","5,8681","5,7885","5,8754","5,7620","","1,41%"
"31.10.2024","5,7867","5,7624","5,7949","5,7534","","0,41%"
"30.10.2024","5,7630","5,7610","5,7928","5,7545","","0,05%"
"29.10.2024","5,7604","5,7103","5,7673","5,6974","","0,89%"
"28.10.2024","5,7096","5,7076","5,7206","5,6855","","0,04%"
"25.10.2024","5,7073","5,6662","5,7137","5,6617","","0,76%"
"24.10.2024","5,6643","5,6909","5,7205","5,6606","","-0,42%"
"23.10.2024","5,6884","5,6904","5,7326","5,6848","","-0,02%"
"22.10.2024","5,6894","5,6943","5,7182","5,6743","","-0,08%"
"21.10.2024","5,6939","5,6898","5,7354","5,6867","","0,05%"
"18.10.2024","5,6912","5,6554","5,7031","5,6289","","0,65%"
"17.10.2024","5,6546","5,6652","5,6896","5,6519","","-0,19%"
"16.10.2024","5,6652","5,6507","5,7007","5,6297","","0,27%"
"15.10.2024","5,6502","5,5952","5,6656","5,5797","","1,03%"
"14.10.2024","5,5928","5,6121","5,6522","5,5643","","-0,35%"
"11.10.2024","5,6126","5,5831","5,6537","5,5572","","0,55%"
"10.10.2024","5,5821","5,5943","5,6050","5,5665","","-0,21%"
"09.10.2024","5,5941","5,5350","5,5995","5,5306","","1,07%"
"08.10.2024","5,5349","5,4918","5,5395","5,4897","","0,82%"
"07.10.2024","5,4900","5,4557","5,4927","5,4200","","0,63%"
"04.10.2024","5,4555","5,4778","5,5199","5,4513","","-0,37%"
"03.10.2024","5,4759","5,4417","5,5116","5,4385","","0,65%"
"02.10.2024","5,4407","5,4377","5,4608","5,4037","","0,07%"
"01.10.2024","5,4368","5,4500","5,4788","5,4296","","-0,21%"
"30.09.2024","5,4482","5,4347","5,4740","5,4025","","0,28%"
"27.09.2024","5,4329","5,4399","5,4583","5,4266","","-0,08%"
"26.09.2024","5,4375","5,4749","5,4781","5,4045","","-0,73%"
"25.09.2024","5,4774","5,4556","5,4974","5,4397","","0,42%"
"24.09.2024","5,4547","5,5374","5,5422","5,4460","","-1,48%"
"23.09.2024","5,5364","5,5104","5,6005","5,5104","","0,47%"
"20.09.2024","5,5103","5,4265","5,5247","5,4153","","1,55%"
"19.09.2024","5,4263","5,4616","5,4665","5,3938","","-0,64%"
"18.09.2024","5,4612","5,4833","5,4965","5,4093","","-0,39%"
"17.09.2024","5,4825","5,5108","5,5161","5,4781","","-0,50%"
"16.09.2024","5,5100","5,5677","5,5818","5,4973","","-0,97%"
"13.09.2024","5,5640","5,6284","5,6308","5,5437","","-1,13%"
"12.09.2024","5,6276","5,6633","5,6769","5,6143","","-0,60%"
"11.09.2024","5,6618","5,6608","5,6744","5,6062","","0,06%"
"10.09.2024","5,6582","5,5837","5,6723","5,5682","","1,33%"
"09.09.2024","5,5842","5,5992","5,6410","5,5747","","-0,26%"
"06.09.2024","5,5990","5,5749","5,6022","5,5286","","0,45%"
"05.09.2024","5,5741","5,6404","5,6494","5,5694","","-1,17%"
"04.09.2024","5,6399","5,6459","5,6620","5,6154","","-0,10%"
"03.09.2024","5,6454","5,6166","5,6534","5,5757","","0,49%"
"02.09.2024","5,6177","5,6463","5,6605","5,6036","","0,13%"
"30.08.2024","5,6103","5,6279","5,6933","5,5742","","-0,29%"
